,covariates,CB_DQCT,CB_NQNC,CB_SQCT,DQCA,DQCA_RR10,DQCA_RR10_noqkprep,DQCT,NQNC,SQCA,SQCT
1,aa,0.674416095757636,0.679528990888688,0.682458164391858,0.654698190623875,0.643922896675781,0.630184329605276,0.658595335370687,0.651093585048545,0.660301747562222,0.665301392456245
2,log_exp,0.45235931097154,0.477725075202661,0.477734783375228,0.440623096606656,0.422555954963014,0.422630606835454,0.470800949308469,0.497373753326337,0.457607684883619,0.495445780662838
3,log_exp+aa,0.773821946501237,0.784798290929505,0.782962311844596,0.753017785272767,0.724323257189377,0.709509350055969,0.767584077926762,0.777720109697432,0.764256912879373,0.775877855908599
4,log_exp+any_fpocket,0.637930405486394,0.635819354306764,0.640474489966489,0.630713593205074,0.610932827901787,0.611204086866957,0.6243751453511,0.612522626152606,0.623133500482636,0.620535794551923
5,log_exp+any_fpocket+aa,0.835785212977622,0.837140653310798,0.837775332478878,0.813355171899881,0.799734941560461,0.790898403524383,0.817560209536073,0.811703620157189,0.816384472711813,0.821792026854548
6,log_exp+any_sitefinder,0.576029291084525,0.582653473108598,0.580322240715454,0.574721522801424,0.560121783590485,0.560136027669895,0.602458854990087,0.599558125976946,0.571540235601739,0.602301882558417
7,log_exp+any_sitefinder+aa,0.811810151953761,0.816515210281302,0.812449620244505,0.798327725064866,0.783546211530958,0.772711805538845,0.811302353649168,0.808448982595447,0.799856861618339,0.815770734396919
8,log_exp+pKa,0.509372167088544,0.5521267002919,0.539167464267137,0.520021698371219,0.518732897573923,0.519794116247392,0.526740784510705,0.538063988199933,0.551670931448938,0.548841460843962
9,log_exp+pka+st_scales,0.676552490226943,0.707742967599685,0.696517460937409,0.64972848635321,0.616013740731497,0.612716021091662,0.643928113293184,0.655746476688014,0.669413098187097,0.656463869388367
10,log_exp+pka+t_scales,0.67709188103178,0.708862312015827,0.695818424199078,0.624463510837253,0.590311964535935,0.587009358940529,0.618764040999123,0.644575940174495,0.656459713396296,0.64426019242393
11,log_exp+plb0_sitefinder,0.654073296931611,0.670669025190456,0.659745609315349,0.658007646573651,0.65279427836835,0.652769315687335,0.690551587746936,0.702499805891554,0.660906981535566,0.691978868277445
12,log_exp+plb0_sitefinder+aa,0.834019164877785,0.840248348760786,0.836748977411848,0.827445175541184,0.815822289531912,0.806752507457709,0.840194224756297,0.845741120586744,0.827510022572413,0.846467713564991
13,log_exp+plb1_sitefinder,0.621220747205163,0.638958100212197,0.63127518851079,0.640907079898133,0.631965080465051,0.632192594219169,0.666395615713151,0.677443440432023,0.646424448479424,0.674665714744238
14,log_exp+plb1_sitefinder+aa,0.813613066638822,0.819365511866344,0.817991433547583,0.811621193448457,0.789940089802481,0.780102150087616,0.822606780969476,0.826266060102224,0.81545823157542,0.829259997115713
15,log_exp+st_scales,0.671860822153713,0.701635860600471,0.692376672532743,0.643964736928836,0.614131736335782,0.605871681837506,0.634184205575871,0.65806801171273,0.66176190162195,0.654302827624727
16,log_exp+t_scales,0.658775470995081,0.681135436276787,0.672973778378476,0.606208021346974,0.563055765969359,0.555269897800316,0.601410099260677,0.642580361808662,0.638744621093801,0.637278121370521
17,log_exp+top5_fpocket,0.550247092982664,0.568105811778296,0.561768261021925,0.571305756336941,0.55720652798052,0.557022034344526,0.576231654069684,0.58576480327365,0.581020217709055,0.585010957428272
18,log_exp+top5_fpocket+aa,0.787681728544559,0.796586925490099,0.794266789236615,0.772231423912794,0.750188635502435,0.736108162189996,0.780626997683273,0.788675673947088,0.781159193400227,0.791046998685483
19,pKa,0.507418054964015,0.533664024754036,0.516339125011155,0.427360422580992,0.437343007197082,0.440138877120478,0.427491108779718,0.430351279259053,0.447327840842741,0.441585563239736
20,st_scales,0.65495266494072,0.661424844156907,0.666611970014916,0.59045238093762,0.589034220703621,0.582974914542266,0.582551375435622,0.592871032379324,0.600011228988169,0.588878165427483
21,t_scales,0.632877987207905,0.63800892737924,0.641067506752597,0.556031601748767,0.545052138802683,0.531936455920609,0.538168242751052,0.558416845618099,0.579147777811374,0.555308111001986
