,covariates,CB_DQCT,CB_NQNC,CB_SQCT,DQCA,DQCA_RR10,DQCA_RR10_noqkprep,DQCT,NQNC,SQCA,SQCT
1,aa,0.782180997320922,0.785044165727037,0.794073198361879,0.727541434677427,0.714483540461216,0.736871546495644,0.738189571950216,0.721096436697204,0.711078877688289,0.704740500648596
2,log_exp,0.78913845768728,0.794927197874663,0.796865501864577,0.755872572461139,0.767546625783875,0.768026163867645,0.794543322539958,0.795560777596613,0.762980642396104,0.804931047780397
3,log_exp+aa,0.825811086013449,0.817595034669906,0.822080657753525,0.825641589476815,0.823954018451793,0.811601718715608,0.846458586950294,0.848192449100826,0.825658734352613,0.853308049532722
4,log_exp+any_fpocket,0.840810502465011,0.841747066841106,0.840587182763335,0.845694559935967,0.850874266146886,0.850874266146886,0.85234569052622,0.853860150254153,0.845085117122197,0.854032931174564
5,log_exp+any_fpocket+aa,0.85504724356836,0.857224840074913,0.854652048189659,0.868334557332826,0.871654388750677,0.868232130104513,0.881133849917282,0.877305207436786,0.866922775314402,0.879695906348134
6,log_exp+any_sitefinder,0.808027303919639,0.823430090900959,0.818854867110949,0.807430986551417,0.807945294423536,0.807964362962845,0.829704223229549,0.833083833355546,0.803551852047633,0.830950528239573
7,log_exp+any_sitefinder+aa,0.843522487259221,0.840256741103047,0.842004549411226,0.83712464418228,0.845226247999693,0.841803505345778,0.858608935886163,0.857825652644165,0.840587628301586,0.861627529066653
8,log_exp+pKa,0.810813480614484,0.811499643921813,0.809049917643246,0.776901706453416,0.767469177783816,0.772026005050418,0.801016584843287,0.793275438253075,0.759171098024567,0.794009152347592
9,log_exp+pka+st_scales,0.831257440939024,0.827993631962276,0.833719175944437,0.789165999860387,0.808769395581054,0.811137014396904,0.819161133264077,0.817304744832349,0.785037199808887,0.812376437375551
10,log_exp+pka+t_scales,0.831304691938246,0.835258112069655,0.83719015614964,0.745580538399159,0.794061114084114,0.79682780900898,0.786579659899189,0.799997469987391,0.755937289115207,0.795607912024122
11,log_exp+plb0_sitefinder,0.81973055293156,0.822345421382695,0.818234378569445,0.758756795710999,0.765386619157817,0.772028328728002,0.84085716665812,0.833624362524533,0.760140622411893,0.833700670696215
12,log_exp+plb0_sitefinder+aa,0.827467650400138,0.833707321747674,0.829179438849747,0.827917374428796,0.827135454864239,0.827040880562066,0.849897839584257,0.847400537445632,0.823321733067515,0.851526970446625
13,log_exp+plb1_sitefinder,0.82412899352493,0.828257605451388,0.825507036825083,0.850530469297201,0.844481167707497,0.842113227621445,0.823544839647928,0.831173654286329,0.817345370850929,0.834619593938328
14,log_exp+plb1_sitefinder+aa,0.826867260903674,0.811602663257848,0.828172110647167,0.820421116708544,0.790482036323806,0.788166348606379,0.831219847688179,0.827865317134771,0.806622959647506,0.847907283454841
15,log_exp+st_scales,0.836905332103489,0.838880579588706,0.840914161396229,0.81708300787888,0.815113135508366,0.817245367402721,0.834612387310798,0.831753514008243,0.818527886621341,0.847259772339738
16,log_exp+t_scales,0.829062828822759,0.831492744832693,0.836269299513933,0.773017267931043,0.815807207309637,0.802249958706369,0.80271028380326,0.815246531790415,0.790603679335583,0.813734212429101
17,log_exp+top5_fpocket,0.806055216249461,0.80685220148643,0.806393817582969,0.79389959809666,0.791372700399366,0.791636896281689,0.81701347474011,0.818634115416366,0.797441582933409,0.824630276373597
18,log_exp+top5_fpocket+aa,0.822547419094161,0.827007580854203,0.830596700550991,0.837690954904363,0.826350752246627,0.828114549119725,0.855845475892085,0.85414093390514,0.842729686766761,0.861928862121625
19,pKa,0.791876081412859,0.766494948851405,0.773982344516643,0.582077970939415,0.478794768004344,0.471997966951467,0.501131553949111,0.545953399925339,0.533616186133224,0.558209857090722
20,st_scales,0.639469604594935,0.616763353031593,0.600106217555367,0.691089035838062,0.702349514652152,0.703578235703517,0.701651387845256,0.698773835915805,0.67520665998395,0.646859693595138
21,t_scales,0.686252970938224,0.641299286497556,0.681030379968633,0.746395239169511,0.729193466353497,0.71887343856898,0.764667055823709,0.730785403492641,0.731242417758919,0.755343034556061
